epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.369,1.59611,2.68675,1.58109,0.76075,0.36052,0.59294,0.28554,1.71597,2.78828,1.61915,0.000413165,0.000413165,0.000413165
2,51.1279,1.57265,1.82218,1.54134,0.59702,0.64514,0.63373,0.27319,1.80696,1.6412,1.67196,0.000824355,0.000824355,0.000824355
3,74.0164,1.60422,1.73439,1.55557,0.5091,0.5213,0.51216,0.22436,1.7788,2.75769,1.68228,0.00123004,0.00123004,0.00123004
4,96.753,1.59957,1.55887,1.5283,0.52967,0.67331,0.60444,0.29498,1.71107,2.12295,1.62018,0.00122525,0.00122525,0.00122525
5,119.567,1.58166,1.4883,1.54491,0.63919,0.60316,0.61549,0.27246,1.7688,1.59428,1.66854,0.001217,0.001217,0.001217
6,141.927,1.54802,1.40911,1.49888,0.64801,0.72184,0.70462,0.3559,1.59928,1.30084,1.53136,0.00120875,0.00120875,0.00120875
7,164.475,1.50139,1.31768,1.47686,0.66292,0.71996,0.7238,0.37556,1.61498,1.19347,1.51904,0.0012005,0.0012005,0.0012005
8,186.998,1.48236,1.28219,1.46386,0.72253,0.74398,0.73026,0.35747,1.7164,1.13476,1.59099,0.00119225,0.00119225,0.00119225
9,209.268,1.49318,1.23762,1.47692,0.72071,0.70508,0.73723,0.38525,1.60117,1.03669,1.5272,0.001184,0.001184,0.001184
10,231.551,1.46716,1.19314,1.44228,0.75393,0.71164,0.76023,0.39699,1.66828,1.10525,1.56387,0.00117575,0.00117575,0.00117575
11,254.881,1.47028,1.17093,1.44075,0.73668,0.74008,0.78387,0.41976,1.56375,1.01313,1.47971,0.0011675,0.0011675,0.0011675
12,278.086,1.42814,1.11229,1.41553,0.75615,0.76818,0.80724,0.43558,1.57325,0.90213,1.47854,0.00115925,0.00115925,0.00115925
13,301.152,1.41541,1.11613,1.40812,0.76164,0.74472,0.79074,0.41695,1.59469,1.04931,1.49376,0.001151,0.001151,0.001151
14,324.037,1.42402,1.10108,1.42256,0.74295,0.78181,0.818,0.43054,1.61021,0.93944,1.51912,0.00114275,0.00114275,0.00114275
15,346.653,1.42368,1.09017,1.41732,0.77452,0.77316,0.83178,0.45457,1.54125,0.87355,1.47148,0.0011345,0.0011345,0.0011345
16,369.146,1.39978,1.06612,1.40458,0.75501,0.77343,0.80847,0.4444,1.53686,0.90627,1.47822,0.00112625,0.00112625,0.00112625
17,391.83,1.38866,1.03638,1.38868,0.76266,0.81247,0.8287,0.45659,1.53512,0.89539,1.45509,0.001118,0.001118,0.001118
