epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2874,1.59611,2.68675,1.58109,0.76075,0.36052,0.59294,0.28554,1.71597,2.78828,1.61915,0.000413165,0.000413165,0.000413165
2,82.2988,1.57265,1.82218,1.54134,0.59702,0.64514,0.63373,0.27319,1.80696,1.6412,1.67196,0.000824355,0.000824355,0.000824355
3,119.67,1.60422,1.73439,1.55557,0.5091,0.5213,0.51216,0.22436,1.7788,2.75769,1.68228,0.00123004,0.00123004,0.00123004
4,144.264,1.59957,1.55887,1.5283,0.52967,0.67331,0.60444,0.29498,1.71107,2.12295,1.62018,0.00122525,0.00122525,0.00122525
5,167.838,1.58166,1.4883,1.54491,0.63919,0.60316,0.61549,0.27246,1.7688,1.59428,1.66854,0.001217,0.001217,0.001217
6,191.932,1.54802,1.40911,1.49888,0.64801,0.72184,0.70462,0.3559,1.59928,1.30084,1.53136,0.00120875,0.00120875,0.00120875
7,215.323,1.50139,1.31768,1.47686,0.66292,0.71996,0.7238,0.37556,1.61498,1.19347,1.51904,0.0012005,0.0012005,0.0012005
8,237.304,1.48236,1.28219,1.46386,0.72253,0.74398,0.73026,0.35747,1.7164,1.13476,1.59099,0.00119225,0.00119225,0.00119225
9,259.212,1.49318,1.23762,1.47692,0.72071,0.70508,0.73723,0.38525,1.60117,1.03669,1.5272,0.001184,0.001184,0.001184
10,280.691,1.46716,1.19314,1.44228,0.75393,0.71164,0.76023,0.39699,1.66828,1.10525,1.56387,0.00117575,0.00117575,0.00117575
11,302.229,1.47028,1.17093,1.44075,0.73668,0.74008,0.78387,0.41976,1.56375,1.01313,1.47971,0.0011675,0.0011675,0.0011675
12,323.887,1.42814,1.11229,1.41553,0.75615,0.76818,0.80724,0.43558,1.57325,0.90213,1.47854,0.00115925,0.00115925,0.00115925
13,345.088,1.41541,1.11613,1.40812,0.76164,0.74472,0.79074,0.41695,1.59469,1.04931,1.49376,0.001151,0.001151,0.001151
14,366.699,1.42402,1.10108,1.42256,0.74295,0.78181,0.818,0.43054,1.61021,0.93944,1.51912,0.00114275,0.00114275,0.00114275
15,388.159,1.42368,1.09017,1.41732,0.77452,0.77316,0.83178,0.45457,1.54125,0.87355,1.47148,0.0011345,0.0011345,0.0011345
16,409.79,1.39978,1.06612,1.40458,0.75501,0.77343,0.80847,0.4444,1.53686,0.90627,1.47822,0.00112625,0.00112625,0.00112625
17,431.416,1.38866,1.03638,1.38868,0.76266,0.81247,0.8287,0.45659,1.53512,0.89539,1.45509,0.001118,0.001118,0.001118
18,453.07,1.38665,1.03875,1.3886,0.78649,0.78976,0.82778,0.45362,1.56528,0.86097,1.47013,0.00110975,0.00110975,0.00110975
19,474.108,1.35997,1.00332,1.37083,0.7707,0.79945,0.83981,0.46371,1.51884,0.82019,1.47354,0.0011015,0.0011015,0.0011015
20,495.514,1.37459,1.00408,1.38087,0.76392,0.8175,0.83472,0.46345,1.50588,0.86141,1.45092,0.00109325,0.00109325,0.00109325
21,518.644,1.36924,0.99167,1.38377,0.77211,0.77582,0.8145,0.4475,1.49745,0.88392,1.42296,0.001085,0.001085,0.001085
22,540.998,1.36696,0.99918,1.36588,0.78262,0.82724,0.84553,0.47724,1.50283,0.78795,1.44629,0.00107675,0.00107675,0.00107675
23,563.29,1.32569,0.96841,1.35182,0.76568,0.82463,0.83148,0.46471,1.52301,0.82079,1.46984,0.0010685,0.0010685,0.0010685
24,585.392,1.37051,0.99075,1.37566,0.78968,0.8192,0.84669,0.48196,1.52834,0.81613,1.45648,0.00106025,0.00106025,0.00106025
25,608.199,1.33949,0.95222,1.35483,0.80441,0.78213,0.84357,0.47011,1.52304,0.85068,1.47434,0.001052,0.001052,0.001052
26,631.414,1.34181,0.94441,1.33894,0.8167,0.78584,0.84339,0.4835,1.49947,0.80924,1.42167,0.00104375,0.00104375,0.00104375
27,656.252,1.34296,0.93856,1.35654,0.80669,0.79996,0.83294,0.45606,1.5312,0.77741,1.45596,0.0010355,0.0010355,0.0010355
28,678.264,1.31951,0.92269,1.34281,0.81499,0.82801,0.86402,0.47855,1.49117,0.77428,1.43868,0.00102725,0.00102725,0.00102725
29,700.3,1.32471,0.93428,1.32966,0.75601,0.87347,0.86139,0.4854,1.48218,0.76781,1.41541,0.001019,0.001019,0.001019
30,721.591,1.30868,0.91519,1.33118,0.78961,0.82141,0.85522,0.48791,1.48627,0.76091,1.42375,0.00101075,0.00101075,0.00101075
31,743.289,1.32387,0.89557,1.3253,0.80092,0.82452,0.85962,0.4688,1.49744,0.81791,1.43315,0.0010025,0.0010025,0.0010025
32,765.087,1.28381,0.88739,1.32454,0.84743,0.75689,0.83545,0.46569,1.54535,0.80687,1.45858,0.00099425,0.00099425,0.00099425
33,786.899,1.29402,0.88438,1.32456,0.8109,0.81143,0.86218,0.48645,1.49095,0.77745,1.42785,0.000986,0.000986,0.000986
34,808.822,1.28987,0.88847,1.32463,0.78451,0.80494,0.85559,0.49085,1.48146,0.76447,1.42473,0.00097775,0.00097775,0.00097775
35,831.123,1.27564,0.88373,1.31537,0.80599,0.81688,0.86455,0.48559,1.48954,0.74393,1.4366,0.0009695,0.0009695,0.0009695
36,853.61,1.30447,0.87248,1.32091,0.78749,0.81967,0.84855,0.48306,1.49516,0.76959,1.43046,0.00096125,0.00096125,0.00096125
37,876.278,1.27705,0.86361,1.30891,0.79649,0.83815,0.86819,0.50359,1.47965,0.73493,1.42729,0.000953,0.000953,0.000953
38,898.66,1.27804,0.86442,1.30166,0.78551,0.8461,0.87137,0.49276,1.51622,0.74548,1.43482,0.00094475,0.00094475,0.00094475
39,921.09,1.26156,0.84083,1.30059,0.80235,0.82963,0.86422,0.49617,1.49231,0.73606,1.43723,0.0009365,0.0009365,0.0009365
40,943.528,1.27888,0.85659,1.30177,0.81848,0.86846,0.88321,0.50596,1.48957,0.72494,1.42982,0.00092825,0.00092825,0.00092825
41,967.327,1.27524,0.83899,1.30324,0.7851,0.83124,0.8468,0.48103,1.50086,0.78716,1.44865,0.00092,0.00092,0.00092
42,990.025,1.24748,0.82675,1.29267,0.79974,0.85264,0.87717,0.50406,1.48439,0.70369,1.42451,0.00091175,0.00091175,0.00091175
43,1013.04,1.24979,0.83233,1.2902,0.82856,0.81046,0.87334,0.51109,1.46726,0.71516,1.41746,0.0009035,0.0009035,0.0009035
44,1036.03,1.2489,0.82064,1.28791,0.77349,0.85019,0.8689,0.49698,1.50191,0.72363,1.4249,0.00089525,0.00089525,0.00089525
45,1060.99,1.25239,0.82488,1.28053,0.75575,0.8473,0.86025,0.49564,1.48271,0.74564,1.41373,0.000887,0.000887,0.000887
46,1085.88,1.23828,0.82989,1.29516,0.80137,0.82038,0.86721,0.49796,1.50961,0.73376,1.43981,0.00087875,0.00087875,0.00087875
47,1111.18,1.21938,0.79949,1.26996,0.83118,0.81277,0.85929,0.48523,1.48236,0.73,1.42926,0.0008705,0.0008705,0.0008705
48,1135.71,1.24198,0.80906,1.28778,0.81451,0.82907,0.87015,0.49732,1.53057,0.72924,1.45258,0.00086225,0.00086225,0.00086225
49,1159.98,1.23374,0.80947,1.28224,0.80276,0.85216,0.87844,0.51163,1.47578,0.68659,1.42523,0.000854,0.000854,0.000854
50,1185.08,1.23523,0.79637,1.27903,0.82477,0.79935,0.87178,0.50173,1.46875,0.73652,1.41791,0.00084575,0.00084575,0.00084575
