epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2173.44,0.54769,0.40153,0.94595,0.71963,0.85746,0.825,0.44916,1.5623,0.81857,1.50348,0.00828443,0.00828443,0.00828443
43,2216.25,0.52871,0.39366,0.93528,0.76352,0.77772,0.80748,0.44357,1.56268,0.83618,1.51731,0.00820525,0.00820525,0.00820525
44,2258.23,0.53653,0.40106,0.94205,0.74306,0.79112,0.80926,0.44208,1.57074,0.84731,1.51434,0.00812468,0.00812468,0.00812468
45,2301.39,0.52725,0.3898,0.9324,0.74473,0.82104,0.82626,0.4605,1.58053,0.81039,1.53764,0.00804277,0.00804277,0.00804277
46,2344.63,0.5225,0.38124,0.93232,0.77021,0.80236,0.81688,0.45028,1.60142,0.7948,1.53558,0.00795954,0.00795954,0.00795954
47,2386.7,0.52082,0.37931,0.93089,0.7716,0.80951,0.83005,0.45324,1.5901,0.79507,1.52807,0.00787503,0.00787503,0.00787503
48,2429.5,0.51237,0.37656,0.92546,0.78146,0.79808,0.82957,0.46334,1.57683,0.77918,1.52671,0.00778929,0.00778929,0.00778929
49,2473.39,0.51642,0.38383,0.9323,0.80144,0.7852,0.83012,0.45714,1.56726,0.79116,1.50784,0.00770234,0.00770234,0.00770234
50,2517.1,0.50483,0.37628,0.92674,0.78443,0.79764,0.82992,0.46297,1.5582,0.80132,1.51256,0.00761423,0.00761423,0.00761423
51,2560.96,0.51148,0.37481,0.93028,0.76557,0.78823,0.80322,0.44868,1.55419,0.8234,1.48397,0.007525,0.007525,0.007525
52,2603.54,0.5066,0.37468,0.92787,0.78595,0.81695,0.84102,0.46984,1.55266,0.76756,1.46634,0.00743468,0.00743468,0.00743468
53,2645.56,0.51251,0.37595,0.93046,0.78064,0.81305,0.82571,0.46149,1.55145,0.75866,1.49566,0.00734332,0.00734332,0.00734332
54,2689.41,0.50444,0.37283,0.93388,0.75441,0.81702,0.81884,0.451,1.57742,0.77323,1.51564,0.00725094,0.00725094,0.00725094
55,2731.58,0.51128,0.37374,0.93185,0.74488,0.81161,0.80449,0.43644,1.56703,0.80462,1.51437,0.00715761,0.00715761,0.00715761
56,2775.68,0.47496,0.35224,0.91269,0.77528,0.80497,0.83237,0.44752,1.62118,0.77567,1.539,0.00706335,0.00706335,0.00706335
57,2820.71,0.48813,0.36829,0.92512,0.78285,0.82577,0.84349,0.47284,1.54492,0.7582,1.49367,0.0069682,0.0069682,0.0069682
58,2863.64,0.48728,0.36341,0.92278,0.78985,0.82909,0.84496,0.46576,1.53998,0.75294,1.48343,0.00687222,0.00687222,0.00687222
59,2906.52,0.47096,0.3532,0.91459,0.7934,0.80865,0.83244,0.45756,1.59043,0.7902,1.52277,0.00677543,0.00677543,0.00677543
60,2949.34,0.46678,0.34436,0.91208,0.80536,0.78785,0.83841,0.47148,1.54689,0.76941,1.47836,0.00667789,0.00667789,0.00667789
61,2991.75,0.47221,0.35216,0.91636,0.79797,0.8316,0.85332,0.47499,1.538,0.74959,1.48977,0.00657963,0.00657963,0.00657963
62,3035.4,0.4791,0.35268,0.92004,0.76636,0.84409,0.8305,0.45616,1.58148,0.76712,1.51298,0.00648071,0.00648071,0.00648071
63,3078.3,0.45067,0.33344,0.90765,0.76876,0.81841,0.825,0.4607,1.54928,0.77009,1.50821,0.00638115,0.00638115,0.00638115
64,3120.59,0.45904,0.3395,0.91312,0.79574,0.79989,0.84422,0.46715,1.54578,0.78765,1.48272,0.00628101,0.00628101,0.00628101
65,3165.21,0.45716,0.34202,0.91293,0.79574,0.81918,0.84509,0.45823,1.53679,0.75803,1.49566,0.00618034,0.00618034,0.00618034
66,3207.95,0.45287,0.33449,0.91493,0.7836,0.82328,0.84437,0.47155,1.53723,0.77245,1.48254,0.00607916,0.00607916,0.00607916
67,3249.39,0.45501,0.33317,0.91065,0.79552,0.85727,0.85213,0.48497,1.50837,0.7627,1.45417,0.00597754,0.00597754,0.00597754
68,3292.29,0.43945,0.33008,0.90489,0.81876,0.80388,0.84183,0.48704,1.52119,0.73148,1.48513,0.00587551,0.00587551,0.00587551
69,3334.28,0.45056,0.33173,0.90629,0.80317,0.81529,0.84027,0.46695,1.53679,0.73507,1.48722,0.00577311,0.00577311,0.00577311
70,3376.01,0.43778,0.32038,0.90748,0.78904,0.81686,0.83295,0.4648,1.51407,0.756,1.46588,0.0056704,0.0056704,0.0056704
71,3420.15,0.44599,0.3318,0.90949,0.77845,0.81413,0.83168,0.47367,1.51446,0.74356,1.47719,0.00556742,0.00556742,0.00556742
72,3462.13,0.43607,0.32535,0.89957,0.78663,0.80919,0.84162,0.46669,1.5515,0.7478,1.49504,0.00546421,0.00546421,0.00546421
73,3505.04,0.42958,0.31957,0.90224,0.77544,0.84616,0.84634,0.46561,1.55395,0.74657,1.50256,0.00536081,0.00536081,0.00536081
74,3549.01,0.43897,0.32531,0.9084,0.79285,0.84114,0.85174,0.47766,1.51881,0.7301,1.47624,0.00525728,0.00525728,0.00525728
75,3592.5,0.42677,0.31736,0.90571,0.78764,0.81827,0.82662,0.44734,1.57255,0.74324,1.51862,0.00515366,0.00515366,0.00515366
76,3636.14,0.42073,0.31547,0.90322,0.79962,0.82518,0.84229,0.46503,1.55291,0.74833,1.49849,0.00505,0.00505,0.00505
77,3678.92,0.41281,0.30938,0.89549,0.79346,0.81094,0.84038,0.47112,1.52058,0.7274,1.49683,0.00494634,0.00494634,0.00494634
78,3720.75,0.43131,0.31994,0.91152,0.7766,0.83451,0.83737,0.47922,1.51303,0.72546,1.45693,0.00484272,0.00484272,0.00484272
79,3764.2,0.42195,0.3107,0.90151,0.80463,0.81037,0.84144,0.4784,1.51128,0.7222,1.45484,0.00473919,0.00473919,0.00473919
80,3806.35,0.40795,0.3031,0.9001,0.79061,0.81454,0.84051,0.47271,1.54073,0.73887,1.48232,0.00463579,0.00463579,0.00463579
81,3848.39,0.41063,0.30251,0.89805,0.8113,0.8282,0.84811,0.4881,1.51792,0.69565,1.48047,0.00453258,0.00453258,0.00453258
82,3892.24,0.41756,0.30654,0.90372,0.82391,0.82207,0.84838,0.47895,1.55035,0.72407,1.48045,0.0044296,0.0044296,0.0044296
83,3934.85,0.39797,0.29549,0.89067,0.80351,0.83199,0.85516,0.48169,1.5441,0.70075,1.48506,0.00432689,0.00432689,0.00432689
84,3976.85,0.41343,0.30443,0.90126,0.82828,0.81347,0.86192,0.4951,1.52772,0.72264,1.46304,0.00422449,0.00422449,0.00422449
85,4018.51,0.39966,0.29718,0.89443,0.81299,0.82465,0.85467,0.48457,1.5344,0.71635,1.48668,0.00412246,0.00412246,0.00412246
86,4060.16,0.40309,0.29335,0.89094,0.80856,0.83115,0.84864,0.48752,1.51695,0.72105,1.45827,0.00402084,0.00402084,0.00402084
87,4102.81,0.38493,0.28626,0.88781,0.79756,0.84854,0.86471,0.48743,1.53322,0.71732,1.47923,0.00391966,0.00391966,0.00391966
88,4145.86,0.3979,0.29395,0.89088,0.81391,0.83491,0.8532,0.48803,1.51639,0.6859,1.47315,0.00381899,0.00381899,0.00381899
89,4187.48,0.38984,0.28764,0.89091,0.81588,0.84039,0.86005,0.4933,1.50462,0.7112,1.46041,0.00371885,0.00371885,0.00371885
90,4229.79,0.37084,0.27579,0.88277,0.81501,0.84383,0.86075,0.49065,1.51265,0.70093,1.48004,0.00361929,0.00361929,0.00361929
