epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,534.564,1.178,0.76293,1.25288,0.67599,0.7176,0.70446,0.38733,1.37244,0.81097,1.38293,0.000663025,0.000663025,0.000663025
43,547.566,1.15796,0.74093,1.24095,0.68982,0.73855,0.71546,0.39212,1.37661,0.81105,1.39097,0.000657025,0.000657025,0.000657025
44,560.713,1.15945,0.73647,1.24424,0.68284,0.74621,0.72803,0.39772,1.38625,0.80664,1.3883,0.000651026,0.000651026,0.000651026
45,573.747,1.16448,0.74594,1.25163,0.69359,0.74297,0.72992,0.39223,1.4088,0.8127,1.39948,0.000645026,0.000645026,0.000645026
46,586.567,1.1523,0.73569,1.23969,0.67575,0.7271,0.71238,0.38278,1.39927,0.81849,1.39467,0.000639027,0.000639027,0.000639027
47,599.581,1.14689,0.73105,1.22937,0.65828,0.73393,0.71429,0.39343,1.37473,0.79821,1.37765,0.000633028,0.000633028,0.000633028
48,612.392,1.14018,0.71783,1.22573,0.67674,0.74082,0.71911,0.39353,1.37037,0.80933,1.3833,0.000627028,0.000627028,0.000627028
49,625.164,1.13189,0.71923,1.22634,0.64811,0.73984,0.71437,0.39018,1.37021,0.79325,1.38855,0.000621029,0.000621029,0.000621029
50,638.121,1.14565,0.71553,1.22972,0.6836,0.73937,0.71165,0.39077,1.36192,0.79301,1.3816,0.000615029,0.000615029,0.000615029
51,651.237,1.13927,0.72018,1.22396,0.6989,0.75027,0.72296,0.3957,1.38274,0.80416,1.3867,0.00060903,0.00060903,0.00060903
52,664.194,1.13269,0.70877,1.22382,0.7062,0.73274,0.72681,0.4021,1.37014,0.77112,1.39257,0.000603031,0.000603031,0.000603031
53,677.274,1.12103,0.71168,1.2175,0.70584,0.73751,0.73281,0.39678,1.39587,0.80416,1.408,0.000597031,0.000597031,0.000597031
54,690.14,1.12331,0.70522,1.21663,0.65305,0.74187,0.7078,0.3836,1.37858,0.79697,1.39084,0.000591032,0.000591032,0.000591032
55,703.217,1.11937,0.70122,1.21839,0.689,0.74132,0.71816,0.38978,1.41875,0.79873,1.43054,0.000585032,0.000585032,0.000585032
56,716.226,1.12248,0.70525,1.22132,0.70441,0.71151,0.71895,0.39776,1.39605,0.7956,1.41589,0.000579033,0.000579033,0.000579033
57,729.366,1.10659,0.68754,1.20438,0.70576,0.74659,0.73681,0.40615,1.37023,0.7815,1.38364,0.000573034,0.000573034,0.000573034
58,742.284,1.09927,0.68081,1.20194,0.67677,0.74883,0.72224,0.40371,1.36221,0.77904,1.38685,0.000567034,0.000567034,0.000567034
59,754.967,1.09735,0.68402,1.20232,0.69934,0.73185,0.72312,0.40681,1.37031,0.77758,1.38629,0.000561035,0.000561035,0.000561035
60,767.624,1.09944,0.68455,1.20329,0.68391,0.74883,0.7338,0.39869,1.38444,0.79329,1.40014,0.000555035,0.000555035,0.000555035
61,780.562,1.11443,0.69249,1.20591,0.69655,0.73571,0.71932,0.40055,1.37359,0.7875,1.3867,0.000549036,0.000549036,0.000549036
62,793.539,1.08717,0.67646,1.19412,0.68445,0.73679,0.72278,0.40141,1.37474,0.78487,1.39165,0.000543037,0.000543037,0.000543037
63,806.498,1.0882,0.66948,1.19736,0.6923,0.73796,0.73052,0.4007,1.40629,0.76965,1.41754,0.000537037,0.000537037,0.000537037
64,819.461,1.10259,0.67827,1.19961,0.69989,0.74432,0.73817,0.40549,1.37804,0.76403,1.38938,0.000531038,0.000531038,0.000531038
65,832.374,1.0846,0.67475,1.2061,0.69862,0.73085,0.72916,0.39938,1.37674,0.75713,1.38967,0.000525038,0.000525038,0.000525038
66,845.259,1.07936,0.65706,1.18983,0.70557,0.74684,0.72562,0.39392,1.39686,0.76565,1.41495,0.000519039,0.000519039,0.000519039
67,858.023,1.07256,0.65281,1.18522,0.70028,0.74464,0.73346,0.40883,1.38837,0.76383,1.39986,0.00051304,0.00051304,0.00051304
68,870.918,1.0885,0.65867,1.18814,0.71105,0.75384,0.7372,0.40062,1.40613,0.77343,1.42023,0.00050704,0.00050704,0.00050704
69,883.534,1.07124,0.65514,1.17728,0.69662,0.73717,0.72468,0.40152,1.39155,0.77902,1.40089,0.000501041,0.000501041,0.000501041
70,896.498,1.07143,0.65652,1.18785,0.70231,0.7327,0.73016,0.39999,1.37588,0.76608,1.40057,0.000495041,0.000495041,0.000495041
71,909.57,1.06975,0.64514,1.18701,0.70542,0.73267,0.73142,0.40448,1.38417,0.77655,1.40045,0.000489042,0.000489042,0.000489042
72,922.366,1.05901,0.64142,1.17977,0.69309,0.74619,0.73119,0.40448,1.39499,0.77093,1.40153,0.000483043,0.000483043,0.000483043
73,935.282,1.05184,0.64212,1.18026,0.68744,0.73581,0.72089,0.3973,1.39914,0.76297,1.40576,0.000477043,0.000477043,0.000477043
74,948.355,1.04204,0.63659,1.1703,0.73092,0.73037,0.72536,0.39771,1.38889,0.76757,1.4083,0.000471044,0.000471044,0.000471044
75,961.427,1.07307,0.65036,1.18167,0.6857,0.7499,0.70991,0.39694,1.39294,0.77536,1.41469,0.000465044,0.000465044,0.000465044
76,974.253,1.03954,0.61825,1.16767,0.75581,0.73518,0.73734,0.40632,1.39097,0.77286,1.40284,0.000459045,0.000459045,0.000459045
77,987.019,1.03176,0.62473,1.15859,0.69462,0.74209,0.74042,0.40726,1.39681,0.78464,1.41625,0.000453046,0.000453046,0.000453046
78,999.961,1.02595,0.61587,1.15841,0.71588,0.74971,0.74542,0.41672,1.39873,0.75132,1.41009,0.000447046,0.000447046,0.000447046
79,1013.11,1.02652,0.62053,1.16,0.71064,0.73734,0.74156,0.40558,1.39692,0.76516,1.41387,0.000441047,0.000441047,0.000441047
80,1026.23,1.03269,0.62152,1.15531,0.73434,0.7232,0.74159,0.40561,1.41248,0.76941,1.41366,0.000435047,0.000435047,0.000435047
81,1039.27,1.01885,0.61561,1.15681,0.73378,0.74955,0.75404,0.41396,1.39086,0.75888,1.40099,0.000429048,0.000429048,0.000429048
