epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9027,1.23545,1.39194,1.27927,0.61947,0.46805,0.49485,0.22321,2.10818,2.08459,1.81911,0.000414909,0.000414909,0.000414909
2,87.204,1.17221,0.93608,1.24176,0.47397,0.5874,0.50914,0.21205,2.10415,2.33293,1.8844,0.000831496,0.000831496,0.000831496
3,128.48,1.14987,0.93192,1.22932,0.64308,0.56952,0.58578,0.26497,1.87766,1.60344,1.74508,0.00124777,0.00124777,0.00124777
4,169.981,1.09965,0.85868,1.20156,0.53069,0.67219,0.62703,0.28419,1.93945,1.57227,1.76785,0.00124893,0.00124893,0.00124893
5,213.736,1.03444,0.78571,1.15728,0.58818,0.65103,0.61736,0.28621,1.87899,1.3961,1.69293,0.00124809,0.00124809,0.00124809
6,255.609,0.9747,0.74247,1.13196,0.69251,0.66182,0.67994,0.32161,1.84832,1.18702,1.73518,0.00124702,0.00124702,0.00124702
7,303.841,0.92748,0.71021,1.09963,0.73223,0.63239,0.68608,0.33959,1.80209,1.16575,1.69192,0.00124571,0.00124571,0.00124571
8,352.165,0.89094,0.68136,1.09209,0.70207,0.64084,0.69033,0.33154,1.80737,1.26332,1.70223,0.00124416,0.00124416,0.00124416
9,397.607,0.8862,0.65842,1.0914,0.72164,0.70429,0.72453,0.35665,1.76372,1.09788,1.66906,0.00124238,0.00124238,0.00124238
10,443.02,0.82503,0.62473,1.06113,0.72918,0.72989,0.71716,0.35939,1.7145,1.09576,1.63036,0.00124036,0.00124036,0.00124036
11,488.147,0.806,0.59919,1.04643,0.67991,0.67289,0.69069,0.32416,1.84232,1.17561,1.68879,0.00123811,0.00123811,0.00123811
12,529.988,0.7728,0.57852,1.03648,0.76429,0.71225,0.74238,0.35765,1.77983,1.09387,1.69597,0.00123562,0.00123562,0.00123562
13,573.07,0.75607,0.57592,1.03625,0.72361,0.72276,0.73529,0.37859,1.71147,1.04222,1.62072,0.0012329,0.0012329,0.0012329
14,615.651,0.75631,0.56676,1.03118,0.73828,0.70378,0.74384,0.36649,1.72355,0.98926,1.6512,0.00122995,0.00122995,0.00122995
15,659.611,0.73564,0.54638,1.01666,0.75042,0.74293,0.7721,0.39206,1.68134,0.96233,1.61205,0.00122677,0.00122677,0.00122677
16,701.339,0.71426,0.53264,1.01307,0.73317,0.69112,0.72335,0.35147,1.77594,1.02156,1.6547,0.00122336,0.00122336,0.00122336
17,742.342,0.71191,0.53039,1.01001,0.73067,0.7285,0.74686,0.37428,1.72114,1.01413,1.61632,0.00121972,0.00121972,0.00121972
18,784.037,0.69887,0.51896,1.01044,0.71716,0.717,0.73462,0.36978,1.70951,1.01874,1.64614,0.00121585,0.00121585,0.00121585
19,826.181,0.67064,0.50036,0.99907,0.72032,0.7741,0.77594,0.39796,1.65944,0.94462,1.58154,0.00121176,0.00121176,0.00121176
20,867.943,0.68706,0.52407,1.00361,0.73921,0.73898,0.75369,0.37334,1.73715,1.0337,1.64101,0.00120744,0.00120744,0.00120744
21,910.219,0.66488,0.49814,0.99014,0.73732,0.71834,0.7561,0.39209,1.67216,0.97408,1.57693,0.0012029,0.0012029,0.0012029
22,954.739,0.67394,0.50678,0.99925,0.76972,0.74884,0.78267,0.40445,1.67522,0.98695,1.56392,0.00119814,0.00119814,0.00119814
23,998.156,0.64887,0.48644,0.98194,0.71676,0.76118,0.75538,0.38353,1.70534,0.9235,1.64438,0.00119316,0.00119316,0.00119316
24,1041.69,0.64779,0.4885,0.98964,0.74327,0.76858,0.77547,0.39008,1.73078,0.91736,1.61562,0.00118797,0.00118797,0.00118797
25,1083.44,0.63065,0.4697,0.97925,0.71847,0.81009,0.80431,0.43231,1.60632,0.90111,1.55313,0.00118256,0.00118256,0.00118256
26,1124.98,0.62948,0.47199,0.97886,0.73913,0.81199,0.79047,0.42184,1.59496,0.88162,1.51921,0.00117694,0.00117694,0.00117694
27,1168.04,0.61087,0.45803,0.97441,0.75205,0.78444,0.79016,0.41656,1.67636,0.90155,1.62926,0.00117111,0.00117111,0.00117111
28,1209.39,0.60085,0.44838,0.96779,0.74332,0.76675,0.78927,0.4154,1.68355,0.8451,1.57986,0.00116507,0.00116507,0.00116507
29,1250.79,0.5964,0.44823,0.96888,0.73969,0.78925,0.78215,0.42294,1.61645,0.86998,1.56502,0.00115882,0.00115882,0.00115882
30,1294.17,0.58786,0.44363,0.9659,0.74035,0.7534,0.77597,0.39767,1.65846,0.86217,1.57979,0.00115237,0.00115237,0.00115237
31,1336.75,0.59361,0.44423,0.96712,0.73083,0.76462,0.78741,0.42756,1.62286,0.85827,1.56441,0.00114572,0.00114572,0.00114572
32,1380.98,0.59144,0.44026,0.96405,0.75873,0.77369,0.80224,0.4322,1.60287,0.86261,1.54106,0.00113887,0.00113887,0.00113887
33,1423,0.57412,0.43114,0.95752,0.74347,0.76252,0.76124,0.39359,1.67704,0.91267,1.60211,0.00113183,0.00113183,0.00113183
34,1466.78,0.57105,0.43549,0.95941,0.77339,0.79776,0.80589,0.43972,1.57421,0.86125,1.53973,0.00112459,0.00112459,0.00112459
35,1509.56,0.58022,0.4339,0.95947,0.76374,0.78381,0.79519,0.42089,1.65783,0.8476,1.5895,0.00111716,0.00111716,0.00111716
36,1551.71,0.56316,0.42504,0.95668,0.80342,0.74529,0.80639,0.43533,1.58517,0.83374,1.57007,0.00110955,0.00110955,0.00110955
37,1593.02,0.56246,0.42508,0.95484,0.74866,0.80499,0.82388,0.46108,1.52201,0.83954,1.48939,0.00110175,0.00110175,0.00110175
38,1636.49,0.55195,0.40747,0.9449,0.76755,0.77367,0.80662,0.44057,1.56974,0.83503,1.53516,0.00109377,0.00109377,0.00109377
39,1678.48,0.54272,0.40575,0.94392,0.76762,0.78105,0.81719,0.43359,1.60741,0.84431,1.53907,0.00108561,0.00108561,0.00108561
40,1719.74,0.55208,0.41163,0.95023,0.72645,0.81183,0.8087,0.43785,1.57382,0.86798,1.53538,0.00107728,0.00107728,0.00107728
41,1763.11,0.5277,0.40288,0.93843,0.74207,0.79239,0.81349,0.45742,1.55235,0.83013,1.51937,0.00106877,0.00106877,0.00106877
42,1804.5,0.54553,0.40932,0.95164,0.78714,0.78463,0.81108,0.43003,1.59695,0.83253,1.52058,0.0010601,0.0010601,0.0010601
43,1846.21,0.5241,0.39793,0.93969,0.77543,0.76483,0.81193,0.4507,1.56834,0.82391,1.52044,0.00105126,0.00105126,0.00105126
44,1889.39,0.52842,0.39525,0.942,0.76719,0.82351,0.8137,0.4424,1.53067,0.81646,1.49567,0.00104226,0.00104226,0.00104226
45,1931.3,0.52195,0.39087,0.93598,0.73706,0.8172,0.81604,0.44646,1.57241,0.81735,1.51398,0.0010331,0.0010331,0.0010331
