epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9974,1.40542,3.18165,1.52112,0.44363,0.31294,0.26026,0.14554,1.36534,2.36882,1.48157,0.0821184,0.00198684,0.00198684
2,55.6682,1.39347,2.34188,1.43991,0.44089,0.45451,0.31568,0.1742,1.44133,1.86571,1.47588,0.0641174,0.00398586,0.00398586
3,80.4919,1.42443,2.01334,1.44059,0.49538,0.47629,0.33721,0.18349,1.47578,1.88119,1.49757,0.0461125,0.00598094,0.00598094
4,104.304,1.45099,1.93647,1.46101,0.43095,0.44558,0.29929,0.14825,1.6321,1.91347,1.63686,0.0281007,0.00796914,0.00796914
5,126.266,1.49058,1.86616,1.46442,0.35973,0.49751,0.33699,0.1716,1.55458,1.7503,1.5857,0.0100791,0.00994751,0.00994751
6,149.412,1.50963,1.85058,1.49039,0.31148,0.44884,0.28672,0.14097,1.66628,1.99376,1.7132,0.0099385,0.0099385,0.0099385
7,172.27,1.51672,1.79175,1.49985,0.38176,0.50493,0.33271,0.17174,1.57614,1.73207,1.58267,0.00991152,0.00991152,0.00991152
8,194.661,1.48459,1.71287,1.46976,0.34073,0.52898,0.32777,0.16964,1.58088,1.7171,1.55682,0.0098797,0.0098797,0.0098797
9,217.344,1.47442,1.67891,1.48349,0.37411,0.50953,0.33773,0.17577,1.57256,1.77551,1.58662,0.00984307,0.00984307,0.00984307
10,246.357,1.46188,1.62179,1.46146,0.35754,0.56254,0.35428,0.18674,1.55991,1.60834,1.56524,0.00980167,0.00980167,0.00980167
11,268.485,1.44924,1.58405,1.4314,0.37634,0.54645,0.36467,0.19595,1.52816,1.5781,1.51962,0.00975553,0.00975553,0.00975553
12,291.641,1.43505,1.56334,1.45959,0.38599,0.5276,0.36076,0.19466,1.53224,1.65253,1.52439,0.0097047,0.0097047,0.0097047
13,314.039,1.41487,1.52258,1.43602,0.37706,0.58861,0.37079,0.20361,1.48355,1.50572,1.50876,0.00964923,0.00964923,0.00964923
14,336.197,1.41251,1.49309,1.42595,0.40184,0.61624,0.40107,0.22294,1.45866,1.49797,1.49271,0.00958918,0.00958918,0.00958918
15,359.451,1.40858,1.48335,1.43783,0.40553,0.64752,0.4132,0.22616,1.45767,1.43621,1.48003,0.00952461,0.00952461,0.00952461
16,381.636,1.3967,1.44703,1.40217,0.39929,0.62655,0.40485,0.22725,1.43913,1.4405,1.46934,0.00945558,0.00945558,0.00945558
17,404.423,1.38433,1.43704,1.40736,0.42633,0.65448,0.42188,0.23268,1.42301,1.39595,1.45103,0.00938215,0.00938215,0.00938215
18,427.83,1.37667,1.41008,1.40117,0.42526,0.63787,0.42298,0.23404,1.43235,1.42082,1.47179,0.00930441,0.00930441,0.00930441
