epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5126.9,0.66934,0.51954,1.02576,0.77258,0.71855,0.76412,0.40069,1.68334,1.02487,1.74387,0.00263243,0.00263243,0.00263243
43,5213.56,0.66554,0.5219,1.03352,0.768,0.70722,0.76703,0.40388,1.63114,0.99396,1.70999,0.0026151,0.0026151,0.0026151
44,5313.85,0.65219,0.50064,1.0234,0.73739,0.80091,0.78881,0.42489,1.59802,0.92231,1.68978,0.00259743,0.00259743,0.00259743
45,5431.83,0.6728,0.51843,1.03614,0.78531,0.74369,0.78682,0.4184,1.60803,0.97234,1.69843,0.00257943,0.00257943,0.00257943
46,5548.29,0.64808,0.5006,1.02502,0.73549,0.76422,0.78701,0.40251,1.65832,0.94154,1.8282,0.0025611,0.0025611,0.0025611
47,5759.84,0.6487,0.50435,1.02716,0.77218,0.75329,0.78875,0.42118,1.60938,0.91172,1.71068,0.00254245,0.00254245,0.00254245
48,5886.01,0.65622,0.49394,1.03766,0.77435,0.77144,0.79757,0.42109,1.63981,0.97216,1.71767,0.00252347,0.00252347,0.00252347
49,5980.31,0.64323,0.49659,1.01976,0.76722,0.73286,0.77218,0.40092,1.66962,0.94967,1.72394,0.00250419,0.00250419,0.00250419
50,6100.72,0.65994,0.49515,1.0243,0.74627,0.7745,0.78911,0.4156,1.60099,0.93197,1.71614,0.0024846,0.0024846,0.0024846
51,6192.52,0.62772,0.48422,1.01083,0.76716,0.75474,0.78191,0.42714,1.58711,0.98033,1.68138,0.00246472,0.00246472,0.00246472
52,6254.85,0.62375,0.47485,0.99959,0.7916,0.73693,0.79894,0.4316,1.61485,0.93163,1.72145,0.00244454,0.00244454,0.00244454
53,6399.36,0.62872,0.47959,1.00876,0.75111,0.77355,0.79002,0.42758,1.59533,0.95327,1.70264,0.00242407,0.00242407,0.00242407
