epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,879.844,1.12758,1.1005,1.19287,0.47269,0.75693,0.51064,0.29813,1.28326,1.16082,1.32801,0.000663025,0.000663025,0.000663025
43,900.72,1.11958,1.0966,1.19391,0.46073,0.75576,0.48039,0.2832,1.28645,1.20236,1.3392,0.000657025,0.000657025,0.000657025
44,921.564,1.12391,1.09962,1.19571,0.45782,0.76397,0.5032,0.2982,1.2695,1.15742,1.33088,0.000651026,0.000651026,0.000651026
45,942.532,1.11705,1.08733,1.18823,0.44294,0.77587,0.47721,0.28252,1.27662,1.21825,1.34124,0.000645026,0.000645026,0.000645026
46,963.408,1.11245,1.09823,1.18385,0.46663,0.74736,0.51865,0.30677,1.2672,1.11813,1.32232,0.000639027,0.000639027,0.000639027
47,984.204,1.12086,1.0899,1.18741,0.45999,0.7619,0.50171,0.29323,1.27421,1.17196,1.32628,0.000633028,0.000633028,0.000633028
48,1005.01,1.09381,1.08168,1.17366,0.47331,0.77257,0.51489,0.29854,1.28064,1.14311,1.33872,0.000627028,0.000627028,0.000627028
49,1025.9,1.09334,1.08061,1.17797,0.44844,0.78396,0.4786,0.282,1.27947,1.19994,1.34027,0.000621029,0.000621029,0.000621029
50,1046.82,1.09683,1.06853,1.17331,0.46745,0.77709,0.50261,0.29502,1.27538,1.18728,1.34304,0.000615029,0.000615029,0.000615029
51,1067.79,1.07788,1.06839,1.1666,0.46053,0.75383,0.48363,0.28714,1.28427,1.15598,1.34467,0.00060903,0.00060903,0.00060903
52,1088.41,1.08973,1.06367,1.17478,0.46739,0.77806,0.50058,0.29276,1.27529,1.18435,1.34246,0.000603031,0.000603031,0.000603031
53,1109.21,1.08215,1.0627,1.1694,0.46197,0.74383,0.48798,0.28441,1.25001,1.17975,1.31826,0.000597031,0.000597031,0.000597031
54,1129.83,1.07841,1.06452,1.17096,0.47445,0.75427,0.50963,0.30105,1.25212,1.12766,1.31921,0.000591032,0.000591032,0.000591032
55,1150.88,1.06583,1.0508,1.16515,0.46006,0.76554,0.48861,0.29022,1.26565,1.16351,1.3313,0.000585032,0.000585032,0.000585032
56,1171.84,1.07196,1.05493,1.16675,0.45919,0.74829,0.48938,0.28683,1.26463,1.16253,1.32266,0.000579033,0.000579033,0.000579033
57,1192.95,1.06558,1.04393,1.15796,0.44363,0.77012,0.49316,0.29422,1.26459,1.19331,1.32659,0.000573034,0.000573034,0.000573034
58,1214.01,1.0639,1.04866,1.16069,0.45149,0.77622,0.49558,0.29147,1.26323,1.19157,1.33184,0.000567034,0.000567034,0.000567034
59,1235.01,1.0715,1.03983,1.16157,0.46337,0.74552,0.49637,0.29536,1.26267,1.17865,1.33388,0.000561035,0.000561035,0.000561035
60,1256.01,1.05603,1.0336,1.15422,0.45059,0.77667,0.47805,0.28376,1.25735,1.21823,1.34019,0.000555035,0.000555035,0.000555035
61,1276.95,1.06604,1.03665,1.15699,0.46146,0.76767,0.50003,0.29815,1.25684,1.1732,1.32671,0.000549036,0.000549036,0.000549036
62,1297.94,1.0465,1.02919,1.15047,0.45455,0.72042,0.49788,0.29491,1.24435,1.19988,1.32124,0.000543037,0.000543037,0.000543037
63,1318.76,1.04941,1.03185,1.14784,0.47781,0.75741,0.50127,0.29877,1.24628,1.17524,1.32506,0.000537037,0.000537037,0.000537037
64,1339.51,1.03799,1.02329,1.14157,0.46905,0.77442,0.50489,0.30108,1.24346,1.16259,1.31549,0.000531038,0.000531038,0.000531038
65,1360.32,1.03687,1.02413,1.14765,0.4641,0.74056,0.48442,0.28855,1.25091,1.19799,1.33105,0.000525038,0.000525038,0.000525038
66,1381.3,1.02809,1.01552,1.13978,0.45496,0.74088,0.48788,0.29372,1.24333,1.23089,1.31315,0.000519039,0.000519039,0.000519039
67,1402.27,1.03765,1.02833,1.13834,0.45416,0.76478,0.48536,0.28947,1.24796,1.17914,1.3293,0.00051304,0.00051304,0.00051304
68,1423.45,1.03015,1.01268,1.14615,0.46385,0.75476,0.50335,0.29835,1.23666,1.18237,1.31952,0.00050704,0.00050704,0.00050704
69,1444.19,1.02816,1.01545,1.13494,0.47628,0.76047,0.50344,0.29897,1.24316,1.17472,1.31807,0.000501041,0.000501041,0.000501041
70,1464.93,1.01218,1.01217,1.13275,0.45999,0.76896,0.49412,0.29434,1.24166,1.15963,1.32808,0.000495041,0.000495041,0.000495041
71,1485.69,1.01876,1,1.1332,0.46063,0.75071,0.47859,0.28671,1.23808,1.2241,1.32714,0.000489042,0.000489042,0.000489042
72,1506.33,1.01065,1.00093,1.13302,0.46915,0.7564,0.49034,0.29373,1.23316,1.22009,1.31431,0.000483043,0.000483043,0.000483043
73,1527.37,1.02329,0.99458,1.13289,0.45492,0.76588,0.48178,0.28731,1.25675,1.24831,1.34172,0.000477043,0.000477043,0.000477043
74,1548.33,1.00563,0.99081,1.12841,0.46841,0.74897,0.48945,0.29267,1.24197,1.22661,1.32992,0.000471044,0.000471044,0.000471044
75,1569.43,1.00449,0.99144,1.1273,0.45601,0.72076,0.48299,0.28403,1.24135,1.25511,1.33449,0.000465044,0.000465044,0.000465044
76,1590.23,0.99864,0.99079,1.1257,0.45655,0.74242,0.4887,0.29034,1.24535,1.22949,1.33683,0.000459045,0.000459045,0.000459045
77,1611.18,0.99528,0.98211,1.12239,0.4607,0.75696,0.48488,0.29291,1.23358,1.24896,1.32689,0.000453046,0.000453046,0.000453046
78,1632.28,0.98961,0.97693,1.12073,0.4543,0.75569,0.48475,0.2896,1.22935,1.24053,1.3265,0.000447046,0.000447046,0.000447046
79,1653.27,0.99788,0.9791,1.12407,0.45363,0.75038,0.47578,0.2893,1.23622,1.25863,1.32535,0.000441047,0.000441047,0.000441047
80,1674.08,0.98496,0.96856,1.10916,0.45944,0.74664,0.4822,0.2922,1.23489,1.28925,1.3251,0.000435047,0.000435047,0.000435047
81,1694.87,0.98013,0.97983,1.11306,0.46274,0.7715,0.48763,0.29216,1.22422,1.24411,1.32573,0.000429048,0.000429048,0.000429048
82,1715.71,0.98126,0.96668,1.11606,0.45869,0.74692,0.48508,0.29131,1.22364,1.26338,1.32079,0.000423049,0.000423049,0.000423049
83,1736.65,0.97447,0.97104,1.10697,0.4596,0.76772,0.48563,0.29311,1.22194,1.23327,1.31782,0.000417049,0.000417049,0.000417049
84,1757.59,0.972,0.96403,1.10922,0.46657,0.74979,0.48784,0.29363,1.21787,1.21881,1.32084,0.00041105,0.00041105,0.00041105
