epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0042,1.38405,2.91569,1.44958,0.43533,0.45748,0.31197,0.17808,1.39088,1.95776,1.49409,0.0033114,0.0033114,0.0033114
2,49.7939,1.3545,1.86033,1.40598,0.38322,0.54989,0.36794,0.19876,1.40081,1.73521,1.49124,0.00662281,0.00662281,0.00662281
3,72.8531,1.38829,1.74421,1.37655,0.49534,0.52969,0.38866,0.20713,1.45916,1.58946,1.49819,0.00991221,0.00991221,0.00991221
4,95.2589,1.41216,1.72121,1.38856,0.406,0.57214,0.38957,0.20213,1.49185,1.63514,1.54403,0.009901,0.009901,0.009901
5,118.604,1.3946,1.66728,1.38691,0.36883,0.54537,0.36714,0.19398,1.49244,1.64286,1.53788,0.009868,0.009868,0.009868
6,140.277,1.39741,1.61906,1.3804,0.39745,0.62107,0.39636,0.20918,1.47419,1.62751,1.50877,0.009835,0.009835,0.009835
7,161.249,1.3856,1.58027,1.36562,0.40911,0.60902,0.41505,0.2248,1.41973,1.48972,1.45084,0.009802,0.009802,0.009802
8,182.141,1.36557,1.54003,1.34894,0.43638,0.63625,0.44907,0.24559,1.41746,1.41513,1.44021,0.009769,0.009769,0.009769
9,203.025,1.35456,1.49521,1.33811,0.41955,0.59918,0.43782,0.23934,1.42161,1.43092,1.45721,0.009736,0.009736,0.009736
10,223.754,1.34192,1.48259,1.35178,0.43298,0.66461,0.45224,0.25008,1.38616,1.38435,1.42572,0.009703,0.009703,0.009703
11,244.591,1.34138,1.46928,1.34102,0.42614,0.68391,0.45258,0.25319,1.37353,1.36559,1.42489,0.00967,0.00967,0.00967
12,265.294,1.33256,1.43889,1.32757,0.42379,0.69903,0.44783,0.24517,1.38637,1.40464,1.42177,0.009637,0.009637,0.009637
13,285.951,1.32208,1.40696,1.32417,0.45924,0.68881,0.48033,0.26147,1.37726,1.31306,1.42732,0.009604,0.009604,0.009604
14,306.591,1.32094,1.39594,1.32824,0.45375,0.66986,0.44684,0.25091,1.38216,1.36808,1.41179,0.009571,0.009571,0.009571
15,327.336,1.30389,1.37957,1.30974,0.45762,0.69606,0.45576,0.25474,1.36994,1.35424,1.40924,0.009538,0.009538,0.009538
16,347.599,1.29283,1.35704,1.29604,0.4547,0.70006,0.48788,0.27318,1.34773,1.27716,1.37686,0.009505,0.009505,0.009505
17,368.112,1.29661,1.3558,1.30284,0.43581,0.719,0.45895,0.26031,1.36538,1.30674,1.40175,0.009472,0.009472,0.009472
18,388.719,1.30244,1.34665,1.29737,0.44799,0.68756,0.46539,0.26377,1.35796,1.30952,1.38205,0.009439,0.009439,0.009439
19,409.47,1.29277,1.34355,1.29459,0.43975,0.68648,0.4509,0.25645,1.35602,1.33513,1.40984,0.009406,0.009406,0.009406
20,430.484,1.29017,1.31783,1.29122,0.45318,0.70977,0.45704,0.25965,1.34659,1.30513,1.38995,0.009373,0.009373,0.009373
21,451.848,1.27826,1.3026,1.29545,0.44796,0.71121,0.46517,0.26523,1.35038,1.308,1.40246,0.00934,0.00934,0.00934
22,472.605,1.26186,1.29226,1.27872,0.44435,0.70976,0.46212,0.26368,1.3716,1.27319,1.3977,0.009307,0.009307,0.009307
23,492.887,1.27063,1.28562,1.28442,0.43342,0.72629,0.47065,0.26887,1.357,1.23025,1.38565,0.009274,0.009274,0.009274
24,513.161,1.25987,1.27898,1.28192,0.44312,0.72612,0.45303,0.25602,1.33327,1.29463,1.3789,0.009241,0.009241,0.009241
25,533.327,1.25159,1.27194,1.27093,0.45091,0.72122,0.47936,0.27082,1.34831,1.24109,1.38904,0.009208,0.009208,0.009208
26,553.509,1.25387,1.26353,1.26588,0.47252,0.67797,0.51045,0.28919,1.36724,1.22275,1.3926,0.009175,0.009175,0.009175
