epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4219,1.38534,2.92074,1.4553,0.45852,0.43541,0.30525,0.16929,1.38985,2.00913,1.51991,0.0033114,0.0033114,0.0033114
2,48.8589,1.35188,1.8721,1.40516,0.3281,0.62455,0.36102,0.1951,1.41619,1.70471,1.50367,0.00662281,0.00662281,0.00662281
3,71.4876,1.38968,1.73927,1.37944,0.47352,0.53784,0.3784,0.19502,1.45955,1.62267,1.50802,0.00991221,0.00991221,0.00991221
4,93.8616,1.40536,1.71689,1.38524,0.41335,0.57511,0.38933,0.20636,1.45328,1.57925,1.52027,0.009901,0.009901,0.009901
